id,response_number,response,prob,logprob
11,3,"

def solve(string, char):
    first_index = string.find(char)
    last_index = string.rfind(char)
    if first_index != -1 and last_index != -1:
        return string[:first_index] + string[first_index+1:last_index] + string[last_index+1:]
    else:
        return string",0.9262,-5.138488388834101
11,4,"

def solve(string, char):
    first_occurrence = string.find(char)
    last_occurrence = string.rfind(char)
    if first_occurrence == -1 or last_occurrence == -1:
        return string
    elif first_occurrence == last_occurrence:
        return string[:first_occurrence] + string[first_occurrence + 1:]
    else:
        return string[:first_occurrence] + string[first_occurrence + 1:last_occurrence] + string[last_occurrence + 1:]",0.9147,-9.361756378285802
11,5,"

def solve(text, char):
    first_index = text.find(char)
    last_index = text.rfind(char)
    if first_index == -1 or last_index == -1:
        return ""Character not found in string.""
    else:
        return text[:first_index] + text[first_index+1:last_index] + text[last_index+1:]",0.8233,-14.197562550778692
12,1,"

def solve(matrix):
    sums = [sum(row) for row in matrix]
    sorted_matrix = [x for _, x in sorted(zip(sums, matrix))]
    return sorted_matrix",0.8912,-4.378687043075999
12,2,"

def solve(matrix):
    # Create a new list to store the sums of each row
    row_sums = []
    
    # Loop through the matrix and calculate the sum of each row
    for row in matrix:
        # Use the sum() function to calculate the sum of the current row
        row_sum = sum(row)
        # Append the sum to the row_sums list
        row_sums.append(row_sum)
        
    # Create a new list to store the sorted rows
    sorted_rows = []
    
    # Sort the row_sums list in ascending order
    sorted_sums = sorted(row_sums)
    
    # Loop through the sorted_sums list
    for sum in sorted_sums:
        # Find the index of the current sum in the row_sums list
        index = row_sums.index(sum)
        # Use the index to get the corresponding row from the matrix
        sorted_rows.append(matrix[index])
        # Remove the current sum from the row_sums list to avoid duplicates
        row_sums.remove(sum)
    
    # Return the sorted matrix
    return sorted_rows",0.8476,-38.035863222119
12,3,"

def solve(matrix):
    for row in matrix:
        row_sum = sum(row)
        row.insert(0, row_sum)
    
    sorted_matrix = sorted(matrix)
    
    for row in sorted_matrix:
        del row[0]
    
    return sorted_matrix",0.7766,-13.654185347271996
12,4,"

def solve(matrix):
    sorted_matrix = sorted(matrix, key=lambda x: sum(x))
    return sorted_matrix",0.8851,-2.806751695658
12,5,"

def solve(matrix):
    sorted_matrix = sorted(matrix, key=lambda x: sum(x))
    return sorted_matrix",0.8851,-2.806751695658
13,1,"

def solve(dictionary):
    # create an empty dictionary to store the word counts
    word_counts = {}

    # loop through each word in the dictionary
    for word in dictionary:
        # if the word is already in the word_counts dictionary, increment its count by 1
        if word in word_counts:
            word_counts[word] += 1
        # if the word is not in the word_counts dictionary, add it with a count of 1
        else:
            word_counts[word] = 1

    # find the maximum count in the word_counts dictionary
    max_count = max(word_counts.values())

    # create an empty list to store the most common words
    most_common_words = []

    # loop through each key-value pair in the word_counts dictionary
    for word, count in word_counts.items():
        # if the count is equal to the maximum count, add the word to the most_common_words list
        if count == max_count:
            most_common_words.append(word)

    # return the most_common_words list
    return most_common_words",0.9277,-16.653536378434296
13,2,"

def solve(dictionary):
    word_count = {}
    for key in dictionary:
        if dictionary[key] in word_count:
            word_count[dictionary[key]] += 1
        else:
            word_count[dictionary[key]] = 1
    max_count = 0
    most_common_words = []
    for key, value in word_count.items():
        if value > max_count:
            max_count = value
            most_common_words = [key]
        elif value == max_count:
            most_common_words.append(key)
    return most_common_words",0.9244,-8.878057853137799
13,3,"

def solve(dictionary):
    word_count = {}
    for word in dictionary:
        if word in word_count:
            word_count[word] += 1
        else:
            word_count[word] = 1
    sorted_word_count = sorted(word_count.items(), key=lambda x: x[1], reverse=True)
    return sorted_word_count[0][0], sorted_word_count[0][1]",0.8997,-8.770425949520599
13,4,"

def solve(dictionary):
    words = {}
    for value in dictionary.values():
        for word in value:
            if word in words:
                words[word] += 1
            else:
                words[word] = 1
    return sorted(words.items(), key=lambda x: x[1], reverse=True)",0.8481,-10.544442144720495
13,5,"

def solve(dictionary):
    counts = {}
    for word in dictionary.values():
        if word in counts:
            counts[word] += 1
        else:
            counts[word] = 1
    max_counts = max(counts.values())
    most_common = []
    for word, count in counts.items():
        if count == max_counts:
            most_common.append(word)
    return most_common",0.8437,-13.767692076025698
14,1,"

def solve(base, height, length):
    return (1/2 * base * height) * length",0.882,-2.7619781261539993
14,2,"

def solve(base, height, length):
    return (1/2 * base * height) * length",0.882,-2.7619781261539993
14,3,"

def solve(base, height, length, depth):
    area = 0.5 * base * height
    volume = area * length * depth
    return volume",0.7961,-7.980330047332999
14,4,"

def solve(base, height, length):
    return (base * height * length) / 2",0.9032,-2.1372903102200005
14,5,"

def solve(base, height, length):
    return (1/2 * base * height) * length",0.882,-2.7619781261539993
15,1,"

def solve(s):
    return [s[i:j] for i, j in zip([0] + filter(str.islower, range(len(s))), filter(str.islower, range(len(s))) + [len(s)])]",0.6712,-18.337716585379994
15,2,"
def solve(s):
    split_string = []
    current_word = """"

    for char in s:
        if char.islower():
            if current_word != """":
                split_string.append(current_word)
            current_word = char
        else:
            current_word += char

    if current_word != """":
        split_string.append(current_word)

    return split_string",0.8273,-13.6510273169505
15,3,"

def solve(string):
    result = []
    current = """"
    for char in string:
        if char.islower():
            if current:
                result.append(current)
            current = char
        else:
            current += char
    if current:
        result.append(current)
    return result",0.8942,-6.596725383256
15,4,"

def solve(s):
    result = []
    temp = """"
    for char in s:
        if char.islower():
            result.append(temp)
            temp = char
        else:
            temp += char
    result.append(temp)
    return result",0.8951,-5.651652114107002
15,5,"

def solve(string):
    split_string = []
    current_word = """"
    for char in string:
        if char.islower():
            if current_word:
                split_string.append(current_word)
            current_word = char
        else:
            current_word += char
    split_string.append(current_word)
    return split_string",0.8854,-7.909820134483398
16,1,"

def solve(s):
    output = []
    current = []
    
    for char in s:
        if char.islower():
            current.append(char)
        else:
            if len(current) > 1:
                output.append(""_"".join(current))
            current = []
    
    if len(current) > 1:
        output.append(""_"".join(current))
    
    return output",0.8176,-15.510699685420002
16,2,"

def solve(string):
    sequences = []
    current = """"
    for char in string:
        if char.islower():
            current += char
        elif current:
            if ""_"" in current:
                sequences.append(current)
            current = """"
    return sequences",0.7996,-11.628848546360995
16,3,"

def solve(string):
    sequences = []
    for i in range(len(string)):
        if string[i].islower():
            start = i
            while i < len(string) and string[i].islower():
                i += 1
            end = i
            if end - start > 1:
                sequences.append(string[start:end])
    return '_'.join(sequences)",0.883,-9.834276980275504
16,4,"

def solve(string):
    result = []
    current = """"
    for char in string:
        if char.islower():
            current += char
        else:
            if len(current) > 1 and ""_"" not in current:
                result.append(current)
            current = """"
    if len(current) > 1 and ""_"" not in current:
        result.append(current)
    return result",0.8656,-11.261222060612004
16,5,"

def solve(s):
    output = []
    for i in range(len(s)):
        if s[i].islower():
            seq = s[i]
            j = i + 1
            while j < len(s) and s[j].islower():
                seq += ""_"" + s[j]
                j += 1
            if len(seq) > 1:
                output.append(seq)
    return output",0.8484,-13.809025471259496
17,1,"

def solve(side):
    perimeter = 4 * side
    return perimeter",0.9411,-0.971001677162
17,2,"

def solve(side):
    perimeter = 4 * side
    return perimeter",0.9411,-0.971001677162
17,3,"

def solve(side):
    perimeter = 4 * side
    return perimeter",0.9411,-0.971001677162
17,4,"

def solve(side):
    return 4*side",0.7889,-2.60835471792
17,5,"

def solve(side):
    perimeter = 4 * side
    return perimeter",0.9411,-0.971001677162
18,1,"

def solve(s1, s2):
    res = """"
    for char in s1:
        if char not in s2:
            res += char
    return res",0.8349,-6.496594776484699
18,2,"

def solve(first, second):
    result = """"
    for char in first:
        if char not in second:
            result += char
    return result",0.8402,-5.5700172461560005
18,3,"

def solve(first_string, second_string):
    result = """"
    for char in first_string:
        if char not in second_string:
            result += char
    return result",0.8947,-4.0062234457349994
18,4,"

def solve(str1, str2):
    new_str = """"
    for char in str1:
        if char not in str2:
            new_str += char
    return new_str",0.9338,-2.6702292192836397
18,5,"

def solve(str1, str2):
    new_str = ''
    for char in str1:
        if char not in str2:
            new_str += char
    return new_str",0.89,-4.54322831363124
19,1,"

def solve(arr):
    if len(arr) == len(set(arr)):
        return False
    else:
        return True",0.9094,-2.3753868825140003
19,2,"

def solve(arr):
    if len(arr) == len(set(arr)):
        return False
    else:
        return True",0.9094,-2.3753868825140003
19,3,"

def solve(nums):
    return len(nums) != len(set(nums))",0.8389,-2.63418708955
19,4,"

def solve(nums):
    return len(nums) != len(set(nums))",0.8389,-2.63418708955
19,5,"

def solve(arr):
    return len(arr) > len(set(arr))",0.689,-5.587845259513999
20,1,"

def solve(n):
    if n % 4 == 0:
        return False
    elif n % 3 == 0:
        return True
    else:
        return False",0.7873,-9.325002335843998
20,2,"

def solve(num):
    if num < 0:
        return False
    sum = 0
    while num > 0:
        sum += num % 10
        num //= 10
    if sum == 10:
        return True
    else:
        return False",0.8466,-9.993029290249002
20,3,"
def solve(num):
    if num == 1:
        return True
    elif num % 3 == 0 and num % 5 == 0:
        return True
    else:
        return False",0.762,-11.958770305304997
20,4,"

def solve(num):
    if num == 1:
        return False
    elif num % 3 == 0:
        return True
    elif num % 10 == 0:
        return True
    return False",0.6577,-19.6946492343
20,5,"
def solve(num):
    if num < 1:
        return False
    elif num == 1:
        return True
    else:
        while num > 1:
            if num % 2 == 0:
                num = num // 2
            else:
                num = (3 * num) + 1
        if num == 1:
            return True
        else:
            return False",0.8376,-15.418465819543991
21,1,"

def solve(n, m):
    multiples = []
    for i in range(1, m+1):
        multiples.append(n*i)
    return multiples",0.9425,-1.893358963673
21,2,"

def solve(m, n):
    multiples = []
    for i in range(1, m+1):
        multiples.append(i * n)
    return multiples",0.8512,-5.315620869510498
21,3,"

def solve(n, m):
    multiples = []
    for i in range(1, m+1):
        multiples.append(n*i)
    return multiples",0.9425,-1.893358963673
21,4,"

def solve(m, n):
    result = []
    for i in range(1, m+1):
        result.append(n*i)
    return result",0.8956,-3.529987108759
21,5,"

def solve(n, m):
    multiples = []
    for i in range(1, m+1):
        multiples.append(n*i)
    return multiples",0.9425,-1.893358963673
22,1,"

def solve(arr):
    seen = set()
    for num in arr:
        if num in seen:
            return num
        seen.add(num)
    return -1",0.9473,-1.8942828980594997
22,2,"

def solve(arr):
    seen = set()
    for num in arr:
        if num in seen:
            return num
        else:
            seen.add(num)
    return -1",0.9514,-1.8930633814884992
22,3,"

def solve(arr):
    seen = set()
    for num in arr:
        if num in seen:
            return num
        else:
            seen.add(num)
    return -1",0.9514,-1.8930633814884992
22,4,"

def solve(arr):
    seen = set()
    for num in arr:
        if num in seen:
            return num
        else:
            seen.add(num)
    return -1 # if no duplicates are found",0.866,-6.3313938946085
22,5,"

def solve(arr):
    seen = set()
    for num in arr:
        if num in seen:
            return num
        seen.add(num)
    return -1",0.9473,-1.8942828980594997
23,1,"

def solve(list_of_lists):
    max_sum = 0
    for lst in list_of_lists:
        sum_lst = sum(lst)
        if sum_lst > max_sum:
            max_sum = sum_lst
    return max_sum",0.921,-3.95196915584
23,2,"

def solve(list_of_lists):
    max_sum = 0
    for lst in list_of_lists:
        lst_sum = sum(lst)
        if lst_sum > max_sum:
            max_sum = lst_sum
    return max_sum",0.9129,-4.373109365407499
23,3,"

def solve(list_of_lists):
    max_sum = float('-inf')
    for lst in list_of_lists:
        temp_sum = sum(lst)
        if temp_sum > max_sum:
            max_sum = temp_sum
    return max_sum",0.8686,-6.903657243528898
23,4,"

def solve(list_of_lists):
    max_sum = 0
    for lst in list_of_lists:
        curr_sum = sum(lst)
        if curr_sum > max_sum:
            max_sum = curr_sum
    return max_sum",0.9293,-3.5214611451319997
23,5,"

def solve(list_of_lists):
    max_sum = float(""-inf"")
    
    for lst in list_of_lists:
        curr_sum = sum(lst)
        if curr_sum > max_sum:
            max_sum = curr_sum
    
    return max_sum",0.841,-8.657848716978098
24,1,"

def solve(binary):
    decimal = 0
    power = 0
    while(binary > 0):
        decimal += (binary % 10) * (2**power)
        power += 1
        binary = binary // 10
    return decimal",0.8668,-8.005031648213
24,2,"

def solve(binary):
    decimal = 0
    power = 0
    while binary > 0:
        decimal += (binary % 10) * (2 ** power)
        power += 1
        binary = binary // 10
    return decimal",0.901,-5.836747064996
24,3,"

def solve(binary):
    decimal = 0
    power = 0
    while binary > 0:
        decimal += (binary % 10) * (2 ** power)
        power += 1
        binary //= 10
    return decimal ",0.8559,-8.560449564817002
24,4,"

def solve(binary):
    decimal = 0
    power = len(binary) - 1
    for digit in binary:
        decimal += int(digit) * (2 ** power)
        power -= 1
    return decimal",0.9203,-4.071332440129
24,5,"

def solve(binary):
    decimal = 0
    power = 0
    for digit in binary[::-1]:
        decimal += int(digit) * 2**power
        power += 1
    return decimal",0.8825,-5.876379979348999
25,1,"

def solve(arr):
    product = 1
    for num in arr:
        if arr.count(num) == 1:
            product *= num
    return product",0.9183,-2.982001782951
25,2,"

def solve(arr):
    result = 1
    for i in range(len(arr)):
        if arr.count(arr[i]) == 1:
            result *= arr[i]
    return result",0.8935,-4.390919187487
25,3,"

def solve(arr):
    product = 1
    for i in range(len(arr)):
        if arr.count(arr[i]) == 1:
            product *= arr[i]
    return product",0.945,-2.2070177998150005
25,4,"

def solve(arr):
    product = 1
    non_repeated = set()
    for num in arr:
        if num not in non_repeated:
            product *= num
            non_repeated.add(num)
    return product",0.856,-7.461021282459002
25,5,"

def solve(arr):
  prod = 1
  for i in range(len(arr)):
    if arr.count(arr[i]) == 1:
      prod = prod * arr[i]
  return prod",0.8205,-8.110586334339501
26,1,"

def solve(tuple_list, k):
    for tup in tuple_list:
        if len(tup) != k:
            return False
    return True",0.9437,-1.7959856990929994
26,2,"

def solve(tuple_list, k):
    for tup in tuple_list:
        if len(tup) != k:
            return False
    return True",0.9437,-1.7959856990929994
26,3,"

def solve(tuple_list, k):
    for tup in tuple_list:
        if len(tup) != k:
            return False
    return True",0.9437,-1.7959856990929994
26,4,"

def solve(tuple_list, k):
    for tup in tuple_list:
        if len(tup) < k:
            return False
    return True",0.8951,-3.4365406061869987
26,5,"

def solve(tuple_list, k):
    for tuple in tuple_list:
        if len(tuple) != k:
            return False
    return True",0.907,-2.928026043267
27,1,"

def solve(str_list):
    return [s for s in str_list if not any(c.isdigit() for c in s)]",0.7306,-8.1615631503305
27,2,"

def solve(lst):
    res = []
    for string in lst:
        new_str = """"
        for char in string:
            if char.isdigit():
                continue
            else:
                new_str += char
        res.append(new_str)
    return res",0.8118,-10.8414199173536
27,3,"

def solve(strings):
    result = []
    for string in strings:
        new_string = """"
        for letter in string:
            if not letter.isdigit():
                new_string += letter
        result.append(new_string)
    return result",0.8765,-6.196829269383701
27,4,"

def solve(lst):
    new_lst = []
    for string in lst:
        new_string = """"
        for char in string:
            if not char.isdigit():
                new_string += char
        new_lst.append(new_string)
    return new_lst",0.9414,-3.0175455285714996
27,5,"

def solve(lst):
    result = []
    for string in lst:
        new_string = ''
        for char in string:
            if not char.isdigit():
                new_string += char
        result.append(new_string)
    return result",0.9042,-4.7356969806369005
28,1,"
def solve(n, k):
    if k == 0 or k == n:
        return 1
    else:
        return solve(n-1, k-1) + solve(n-1, k)",0.896,-4.9396266386293
28,2,"

def solve(n, k):
    if k == 0 or k == n:
        return 1
    else:
        return solve(n-1, k-1) + solve(n-1, k)",0.9566,-1.9989314043478004
28,3,"

def solve(n, k):
    if k == 0 or k == n:
        return 1
    else:
        return solve(n-1, k-1) + solve(n-1, k)",0.9566,-1.9989314043478004
28,4,"

def solve(n, k):
    if k == 0 or k == n:
        return 1
    if k > n or k < 0:
        return 0
    return solve(n-1, k-1) + solve(n-1, k)",0.8616,-8.636582138576703
28,5,"

def solve(n, k):
    if k == 0 or k == n:
        return 1
    else:
        return solve(n - 1, k - 1) + solve(n - 1, k)",0.9253,-3.728745625581
29,1,"

def solve(arr):
    count = {}
    for element in arr:
        if element in count:
            count[element] += 1
        else:
            count[element] = 1
    
    for key, value in count.items():
        if value % 2 != 0:
            return key",0.8995,-6.568062746165102
29,2,"

def solve(arr):
    freq = {}
    for num in arr:
        freq[num] = freq.get(num, 0) + 1
    for key, value in freq.items():
        if value % 2 != 0:
            return key",0.8499,-8.617376990848397
29,3,"

def solve(arr):
    count = {}
    for num in arr:
        if num in count:
            count[num] += 1
        else:
            count[num] = 1
    for key, value in count.items():
        if value % 2 == 1:
            return key",0.9244,-4.871941370109799
29,4,"

def solve(lst):
    count = {}
    for num in lst:
        if num in count:
            count[num] += 1
        else:
            count[num] = 1
    for key, value in count.items():
        if value % 2 == 1:
            return key",0.9028,-6.340398014956799
